Judul,Saluran TV,Judul2,Judul2_no_stopwords,Judul2_ns_stem
Jasad Tengkulak Padi Yang Keji Berubah Kaku dan Terpaksa Dikuburkan Di Balik Batu,Indosiar,jasad tengkulak padi yang keji berubah kaku dan terpaksa dikuburkan di balik batu,jasad tengkulak padi keji berubah kaku terpaksa dikuburkan batu,jasad tengkulak padi keji ubah kaku paksa kubur batu
"Penjual Pempek Ikan Busuk Yang Serakah, Makamnya Hancur Diterjang Ombak Berkali Kali",Indosiar,penjual pempek ikan busuk yang serakah makamnya hancur diterjang ombak berkali kali,penjual pempek ikan busuk serakah makamnya hancur diterjang ombak berkali kali,jual pempek ikan busuk serakah makam hancur terjang ombak kali kali
Tukang Tambal Ban Penebar Paku Makamnya Ambrol dan Terbawa Arus Sungai Deras,Indosiar,tukang tambal ban penebar paku makamnya ambrol dan terbawa arus sungai deras,tukang tambal ban penebar paku makamnya ambrol terbawa arus sungai deras,tukang tambal ban tebar paku makam ambrol bawa arus sungai deras
"Orang Sok Dermawan Tapi Ternyata Pelit, Jenazahnya Terbang Terus Tak Bisa Dikubur",Indosiar,orang sok dermawan tapi ternyata pelit jenazahnya terbang terus tak bisa dikubur,orang sok dermawan pelit jenazahnya terbang dikubur,orang sok dermawan pelit jenazah terbang kubur
Jenazah Dimakan Harimau Karena Menjual Susu Oplosan,Indosiar,jenazah dimakan harimau karena menjual susu oplosan,jenazah dimakan harimau menjual susu oplosan,jenazah makan harimau jual susu oplos
"Anak Manja Penuntut Ibu, Jenazahnya Hangus Terbakar",Indosiar,anak manja penuntut ibu jenazahnya hangus terbakar,anak manja penuntut ibu jenazahnya hangus terbakar,anak manja tuntut ibu jenazah hangus bakar
Jenazah Pembuat Vaksin Palsu Dibungkus Terpal dan Makamnya Bolong Tersambar Petir,Indosiar,jenazah pembuat vaksin palsu dibungkus terpal dan makamnya bolong tersambar petir,jenazah pembuat vaksin palsu dibungkus terpal makamnya bolong tersambar petir,jenazah buat vaksin palsu bungkus terpal makam bolong sambar petir
"Jasad Suami Istri Pemakan Dana Sumbangan Korban Gempa, Jadi Batu dan Hilang Ditelan Bumi",Indosiar,jasad suami istri pemakan dana sumbangan korban gempa jadi batu dan hilang ditelan bumi,jasad suami istri pemakan dana sumbangan korban gempa batu hilang ditelan bumi,jasad suami istri makan dana sumbang korban gempa batu hilang tel bumi
Makam Penjual Ikan Busuk Yang Licik Berbau Tengik dan Dihancurkan Tanaman Merambat,Indosiar,makam penjual ikan busuk yang licik berbau tengik dan dihancurkan tanaman merambat,makam penjual ikan busuk licik berbau tengik dihancurkan tanaman merambat,makam jual ikan busuk licik bau tengik hancur tanam rambat
Jenazah Penimbun Beras Culas Makamnya Terangkat Akar Pohon Yang Tumbang,Indosiar,jenazah penimbun beras culas makamnya terangkat akar pohon yang tumbang,jenazah penimbun beras culas makamnya terangkat akar pohon tumbang,jenazah timbun beras culas makam angkat akar pohon tumbang
